"filename", "language", "JavaScript", "SCSS", "CSS", "JSON", "HTML", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_contactDetails.scss", "SCSS", 0, 74, 0, 0, 0, 0, 0, 0, 1, 10, 85
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_dominios.scss", "SCSS", 0, 117, 0, 0, 0, 0, 0, 0, 7, 17, 141
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_dominiosBusqueda.scss", "SCSS", 0, 221, 0, 0, 0, 0, 0, 0, 10, 34, 265
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_home.scss", "SCSS", 0, 70, 0, 0, 0, 0, 0, 0, 1, 11, 82
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_login.scss", "SCSS", 0, 109, 0, 0, 0, 0, 0, 0, 1, 17, 127
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_profile.scss", "SCSS", 0, 179, 0, 0, 0, 0, 0, 0, 0, 25, 204
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_register.scss", "SCSS", 0, 91, 0, 0, 0, 0, 0, 0, 1, 17, 109
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_requestPasswordReset.scss", "SCSS", 0, 95, 0, 0, 0, 0, 0, 0, 1, 18, 114
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_resetPassword.scss", "SCSS", 0, 107, 0, 0, 0, 0, 0, 0, 1, 21, 129
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_settings.scss", "SCSS", 0, 140, 0, 0, 0, 0, 0, 0, 0, 19, 159
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_userManagment.scss", "SCSS", 0, 178, 0, 0, 0, 0, 0, 0, 2, 21, 201
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_userPage.scss", "SCSS", 0, 48, 0, 0, 0, 0, 0, 0, 1, 9, 58
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\utils\formatDate.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\validations\acceptInvitationValidation.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\validations\authValidation.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 5, 5, 92
"Total", "-", 6218, 4217, 4010, 18479, 22, 2, 2, 38, 395, 1412, 34795
